"Candidate","total_votes","Candidate.1","total_votes.1","Candidate.2","total_votes.2","Candidate.3","total_votes.3","Candidate.4","total_votes.4","Candidate.5","total_votes.5","Candidate.6","total_votes.6","Candidate.7","total_votes.7","Candidate.8","total_votes.8","Candidate.9","total_votes.9","Candidate.10","total_votes.10","Candidate.11","total_votes.11","Candidate.12","total_votes.12","Candidate.13","total_votes.13","Candidate.14","total_votes.14","Candidate.15","total_votes.15","Candidate.16","total_votes.16","Candidate.17","total_votes.17","Candidate.18","total_votes.18","Candidate.19","total_votes.19","Candidate.20","total_votes.20","Candidate.21","total_votes.21","Candidate.22","total_votes.22","Candidate.23","total_votes.23","Candidate.24","total_votes.24"
"Acquaye Emmanuel",46,"Acquaye Emmanuel",20,"Acquaye Emmanuel",16,"Acquaye Emmanuel",14,"Acquaye Emmanuel",22,"Acquaye Emmanuel",16,"Acquaye Emmanuel",54,"Acquaye Emmanuel",6,"Acquaye Emmanuel",14,"Acquaye Emmanuel",10,"Acquaye Emmanuel",14,"Acquaye Emmanuel",10,"Acquaye Emmanuel",20,"Acquaye Emmanuel",8,"Acquaye Emmanuel",8,"Acquaye Emmanuel",16,"Acquaye Emmanuel",26,"Acquaye Emmanuel",12,"Acquaye Emmanuel",18,"Acquaye Emmanuel",26,"Acquaye Emmanuel",22,"Acquaye Emmanuel",16,"Acquaye Emmanuel",26,"Acquaye Emmanuel",12,"Acquaye Emmanuel",20
"Acton Blake",22,"Acton Blake",22,"Acton Blake",42,"Acton Blake",20,"Acton Blake",18,"Acton Blake",20,"Acton Blake",22,"Acton Blake",10,"Acton Blake",8,"Acton Blake",16,"Acton Blake",18,"Acton Blake",6,"Acton Blake",28,"Acton Blake",32,"Acton Blake",12,"Acton Blake",26,"Acton Blake",18,"Acton Blake",14,"Acton Blake",20,"Acton Blake",30,"Acton Blake",20,"Acton Blake",44,"Acton Blake",18,"Acton Blake",20,"Acton Blake",22
"Ahmed Sharif",108,"Ahmed Sharif",60,"Ahmed Sharif",32,"Ahmed Sharif",26,"Ahmed Sharif",86,"Ahmed Sharif",44,"Ahmed Sharif",36,"Ahmed Sharif",24,"Ahmed Sharif",18,"Ahmed Sharif",14,"Ahmed Sharif",10,"Ahmed Sharif",12,"Ahmed Sharif",50,"Ahmed Sharif",40,"Ahmed Sharif",84,"Ahmed Sharif",98,"Ahmed Sharif",36,"Ahmed Sharif",16,"Ahmed Sharif",90,"Ahmed Sharif",252,"Ahmed Sharif",162,"Ahmed Sharif",44,"Ahmed Sharif",68,"Ahmed Sharif",128,"Ahmed Sharif",90
"Alam Asadul",20,"Alam Asadul",18,"Alam Asadul",10,"Alam Asadul",10,"Alam Asadul",42,"Alam Asadul",6,"Alam Asadul",24,"Alam Asadul",26,"Alam Asadul",12,"Alam Asadul",12,"Alam Asadul",10,"Alam Asadul",10,"Alam Asadul",20,"Alam Asadul",14,"Alam Asadul",8,"Alam Asadul",8,"Alam Asadul",10,"Alam Asadul",8,"Alam Asadul",24,"Alam Asadul",46,"Alam Asadul",60,"Alam Asadul",32,"Alam Asadul",28,"Alam Asadul",24,"Alam Asadul",32
"Allan Gru Jesse",34,"Allan Gru Jesse",24,"Allan Gru Jesse",38,"Allan Gru Jesse",24,"Allan Gru Jesse",34,"Allan Gru Jesse",36,"Allan Gru Jesse",24,"Allan Gru Jesse",12,"Allan Gru Jesse",12,"Allan Gru Jesse",8,"Allan Gru Jesse",20,"Allan Gru Jesse",28,"Allan Gru Jesse",52,"Allan Gru Jesse",20,"Allan Gru Jesse",16,"Allan Gru Jesse",30,"Allan Gru Jesse",14,"Allan Gru Jesse",18,"Allan Gru Jesse",16,"Allan Gru Jesse",44,"Allan Gru Jesse",56,"Allan Gru Jesse",42,"Allan Gru Jesse",28,"Allan Gru Jesse",40,"Allan Gru Jesse",34
"Aly Atef",14,"Aly Atef",14,"Aly Atef",12,"Aly Atef",14,"Aly Atef",10,"Aly Atef",14,"Aly Atef",20,"Aly Atef",8,"Aly Atef",12,"Aly Atef",8,"Aly Atef",2,"Aly Atef",0,"Aly Atef",10,"Aly Atef",10,"Aly Atef",8,"Aly Atef",26,"Aly Atef",10,"Aly Atef",14,"Aly Atef",4,"Aly Atef",18,"Aly Atef",10,"Aly Atef",16,"Aly Atef",14,"Aly Atef",12,"Aly Atef",14
"Apostolopoulos Dionysios",30,"Apostolopoulos Dionysios",38,"Apostolopoulos Dionysios",38,"Apostolopoulos Dionysios",38,"Apostolopoulos Dionysios",34,"Apostolopoulos Dionysios",26,"Apostolopoulos Dionysios",26,"Apostolopoulos Dionysios",34,"Apostolopoulos Dionysios",44,"Apostolopoulos Dionysios",22,"Apostolopoulos Dionysios",22,"Apostolopoulos Dionysios",88,"Apostolopoulos Dionysios",18,"Apostolopoulos Dionysios",232,"Apostolopoulos Dionysios",40,"Apostolopoulos Dionysios",78,"Apostolopoulos Dionysios",54,"Apostolopoulos Dionysios",32,"Apostolopoulos Dionysios",58,"Apostolopoulos Dionysios",94,"Apostolopoulos Dionysios",142,"Apostolopoulos Dionysios",122,"Apostolopoulos Dionysios",46,"Apostolopoulos Dionysios",64,"Apostolopoulos Dionysios",32
"Atkinson Darren",18,"Atkinson Darren",16,"Atkinson Darren",20,"Atkinson Darren",22,"Atkinson Darren",14,"Atkinson Darren",34,"Atkinson Darren",14,"Atkinson Darren",8,"Atkinson Darren",10,"Atkinson Darren",8,"Atkinson Darren",8,"Atkinson Darren",10,"Atkinson Darren",18,"Atkinson Darren",26,"Atkinson Darren",16,"Atkinson Darren",6,"Atkinson Darren",16,"Atkinson Darren",20,"Atkinson Darren",8,"Atkinson Darren",6,"Atkinson Darren",12,"Atkinson Darren",24,"Atkinson Darren",14,"Atkinson Darren",24,"Atkinson Darren",12
"Atkinson Jamie",38,"Atkinson Jamie",46,"Atkinson Jamie",44,"Atkinson Jamie",36,"Atkinson Jamie",40,"Atkinson Jamie",34,"Atkinson Jamie",24,"Atkinson Jamie",32,"Atkinson Jamie",30,"Atkinson Jamie",18,"Atkinson Jamie",10,"Atkinson Jamie",22,"Atkinson Jamie",14,"Atkinson Jamie",20,"Atkinson Jamie",24,"Atkinson Jamie",26,"Atkinson Jamie",44,"Atkinson Jamie",38,"Atkinson Jamie",26,"Atkinson Jamie",20,"Atkinson Jamie",32,"Atkinson Jamie",34,"Atkinson Jamie",8,"Atkinson Jamie",28,"Atkinson Jamie",34
"Bailão Ana",11496,"Bailão Ana",33886,"Bailão Ana",33934,"Bailão Ana",20362,"Bailão Ana",19652,"Bailão Ana",18822,"Bailão Ana",8974,"Bailão Ana",32242,"Bailão Ana",20624,"Bailão Ana",16412,"Bailão Ana",20376,"Bailão Ana",24330,"Bailão Ana",12996,"Bailão Ana",18360,"Bailão Ana",26598,"Bailão Ana",14746,"Bailão Ana",17250,"Bailão Ana",16488,"Bailão Ana",20858,"Bailão Ana",17118,"Bailão Ana",14124,"Bailão Ana",13190,"Bailão Ana",8964,"Bailão Ana",11994,"Bailão Ana",16554
