"Candidate","total_votes","Ward"
"Acquaye Emmanuel",46,"Ward 1"
"Acton Blake",22,"Ward 1"
"Ahmed Sharif",108,"Ward 1"
"Alam Asadul",20,"Ward 1"
"Allan Gru Jesse",34,"Ward 1"
"Aly Atef",14,"Ward 1"
"Apostolopoulos Dionysios",30,"Ward 1"
"Atkinson Darren",18,"Ward 1"
"Atkinson Jamie",38,"Ward 1"
"Bailão Ana",11496,"Ward 1"
"Baking Jose",32,"Ward 1"
"Bankas Ben",18,"Ward 1"
"Beals Claudette",8,"Ward 1"
"Benway Glen",14,"Ward 1"
"Bonilla Eliazar",34,"Ward 1"
"Bradford Brad",434,"Ward 1"
"Brown Chloe",1136,"Ward 1"
"Buffey Brian",18,"Ward 1"
"Caesar-Chavannes Celina",38,"Ward 1"
"Carrie Mason",14,"Ward 1"
"Chan Roland",40,"Ward 1"
"Charlton Matti",18,"Ward 1"
"Chevalier Romero Danny",44,"Ward 1"
"Chow Olivia",9944,"Ward 1"
"Choy Logan",42,"Ward 1"
"City Ward 1 Totals",35644,"Ward 1"
"Clarke Kevin",18,"Ward 1"
"Climenhaga Sarah",14,"Ward 1"
"Cohen Gordon",18,"Ward 1"
"Collins Paul",14,"Ward 1"
"D'Amico Frank",30,"Ward 1"
"D'Angelo Frank",26,"Ward 1"
"D'Cruze Phillip",12,"Ward 1"
"Davis Rob",54,"Ward 1"
"Deb Samson",6,"Ward 1"
"Desai Habiba",16,"Ward 1"
"Deville Cory",18,"Ward 1"
"Fenby Simryn",8,"Ward 1"
"Forrester Monica",22,"Ward 1"
"Furey Anthony",2062,"Ward 1"
"Furnival Scott",8,"Ward 1"
"Gamk Isabella",6,"Ward 1"
"Gao Feng",12,"Ward 1"
"Gong Xiao Hua",324,"Ward 1"
"Goraya Adil",18,"Ward 1"
"Graff Brian",6,"Ward 1"
"Grosman Ari",12,"Ward 1"
"Guglielmin James",10,"Ward 1"
"Gulyas David",14,"Ward 1"
"Hall Thomas",40,"Ward 1"
"Handjis Peter",10,"Ward 1"
"He Heather",8,"Ward 1"
"Heaps Toby",18,"Ward 1"
"Hossain Monowar",20,"Ward 1"
"Hunter Mitzie",956,"Ward 1"
"Igodan Sheila",16,"Ward 1"
"Irmya Daniel",2,"Ward 1"
"Jaffery Syed",16,"Ward 1"
"Jensen Michael",16,"Ward 1"
"Johnston Patricia",34,"Ward 1"
"Khan Walayat",10,"Ward 1"
"Korovitsyn Serge",6,"Ward 1"
"Lamoureux Michael",12,"Ward 1"
"Langenfeld Kris",12,"Ward 1"
"LeLiever Mark",32,"Ward 1"
"Lee Rick",12,"Ward 1"
"Letonja John",8,"Ward 1"
"MacLeod Norman",12,"Ward 1"
"Mammoliti Giorgio",134,"Ward 1"
"Mann Steve",20,"Ward 1"
"Marshall Cleveland",12,"Ward 1"
"Matlow Josh",626,"Ward 1"
"Mohee Faizul",18,"Ward 1"
"Murphy Bob",20,"Ward 1"
"Nicula Michael",10,"Ward 1"
"Nowwarah Jamil",4,"Ward 1"
"Perruzza Anthony",286,"Ward 1"
"Ransome John",18,"Ward 1"
"Renée D!ONNE",20,"Ward 1"
"Reodica Willie",20,"Ward 1"
"Rubino Walter",8,"Ward 1"
"Saccoccia Chris",668,"Ward 1"
"Sanders Lyall",252,"Ward 1"
"Saunders Mark",5488,"Ward 1"
"Schipano Rocco",18,"Ward 1"
"Shusterman Robert",2,"Ward 1"
"Singh Knia",42,"Ward 1"
"Singh Partap Dua",44,"Ward 1"
"Sivaneswaran Raksheni",52,"Ward 1"
"Sniedzins Erwin",0,"Ward 1"
"Srivastava Sandeep",56,"Ward 1"
"Straus Meir",4,"Ward 1"
"Tang Weizhen",2,"Ward 1"
"Toye Mitchell",14,"Ward 1"
"Tull Reginald",14,"Ward 1"
"Tunney Jeffery",2,"Ward 1"
"Vadivelu Kiri",18,"Ward 1"
"Weenen Jack",0,"Ward 1"
"Wei Yuanqian",8,"Ward 1"
"Williams Jody",10,"Ward 1"
"Winter John",8,"Ward 1"
"Yan Nathalie Xian Yi",6,"Ward 1"
"Acquaye Emmanuel",20,"Ward 2"
"Acton Blake",22,"Ward 2"
"Ahmed Sharif",60,"Ward 2"
"Alam Asadul",18,"Ward 2"
"Allan Gru Jesse",24,"Ward 2"
"Aly Atef",14,"Ward 2"
"Apostolopoulos Dionysios",38,"Ward 2"
"Atkinson Darren",16,"Ward 2"
"Atkinson Jamie",46,"Ward 2"
"Bailão Ana",33886,"Ward 2"
"Baking Jose",32,"Ward 2"
"Bankas Ben",12,"Ward 2"
"Beals Claudette",10,"Ward 2"
"Benway Glen",8,"Ward 2"
"Bonilla Eliazar",34,"Ward 2"
"Bradford Brad",850,"Ward 2"
"Brown Chloe",1070,"Ward 2"
"Buffey Brian",12,"Ward 2"
"Caesar-Chavannes Celina",14,"Ward 2"
"Carrie Mason",2,"Ward 2"
"Chan Roland",32,"Ward 2"
"Charlton Matti",10,"Ward 2"
"Chevalier Romero Danny",24,"Ward 2"
"Chow Olivia",16098,"Ward 2"
